SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,1.99,0.15,343.4805,458.08,8,11,3,108.9209,197.37,2.2332
C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,5.17,,41.72652,247.85,0,0,0,51.492,0.0,4.9536
C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl,6.56,,6.9205e-06,357.84,0,0,1,81.938,0.0,7.274
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,4.62,0.000993,22.4967006,213.89,0,0,0,46.482,0.0,4.3002
C1=C(C=C(C(=C1Br)O)Br)C#N,2.63,0.5001,20.0134638,274.86,1,2,0,48.2218,44.02,2.78888
C1=C(C=C(C(=C1Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl)Cl,7.28,,2.35093e-05,357.84,0,0,1,81.938,0.0,7.274
C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],2.8,,11.2814262,205.96,1,3,1,47.5288,69.16,2.4838
C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,4.0,0.0461,3.4780581,435.94,1,5,2,80.1768,84.7,4.27918
C1=C(C=C(C(=C1Cl)O)Cl)Cl,3.69,0.01512,47.731068,195.92,1,1,0,43.1368,20.23,3.3524
C1=C(C=C(C=C1Cl)Cl)C2=CC(=CC(=C2)Cl)Cl,6.72,,8.47252e-05,289.92,0,0,1,71.918,0.0,5.9672
