SMILES,Clint,logP,Fup
CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,0.09100195861172283,0.8296703296703296,0.009240246406570842
CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,0.5255744238491928,0.6277472527472527,0.02761806981519508
CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,0.29066985188378,0.6758241758241758,0.06057494866529775
CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C,0.3469274651331612,0.24038461538461536,0.6262833675564683
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,0.3469274651331612,0.3255494505494505,0.862422997946612
CC1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C=C,0.6222140820717839,0.6318681318681318,0.5991786447638605
CC1(C(=O)NC(=O)N1CO)C,0.5693476621539886,0.2032967032967033,0.9353182751540042
CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,0.725948425032688,0.6881868131868131,0.048449691991786455
CC1(CON(C1=O)CC2=CC=CC=C2Cl)C,0.3487219032834855,0.5494505494505494,0.16776180698151952
CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,0.6485029647286976,0.43956043956043955,0.19209445585215607
CC1=C(C(=C(C=C1)C)O)C,0.9020584943115776,0.5728021978021978,0.08295687885010268
CC1=C(C(=CC=C1)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C,0.5849287117338325,0.695054945054945,0.32772073921971256
CC1=C(C(=CC=C1)C)N,0.5103009671967402,0.45879120879120877,0.432340862422998
CC1=C(C(=O)N(C(=O)N1)C(C)(C)C)Cl,0.30801536245305594,0.4656593406593406,0.0953798767967146
CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,0.5406700270181315,0.7527472527472527,0.09240246406570844
CC1=C(C=C(C=C1)N)Cl,0.8243741345266986,0.4711538461538461,0.13860369609856263
CC1=C(C=C(C=C1)N)O,0.6007152977916559,0.3118131868131868,0.6098562628336757
CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-],0.7230767142236473,0.49450549450549447,0.12422997946611912
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0.5168830738731387,0.7925824175824174,0.0003080082135523618
CC1=C(C2=C(N1C3=C4C=CC(=CC4=NC=C3)Cl)C=CC(=C2)OC)CC(=O)O,0.24416165463283004,0.846153846153846,0.0
CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,0.6547370946749007,0.43956043956043955,0.15739219712525668
CC1=C(N=CN1)CSCCNC(=NC)NC#N,0.4345563388754413,0.26098901098901095,0.7905544147843944
CC1=C(SCCO1)C(=O)NC2=CC=CC=C2,0.6674373041080187,0.49999999999999994,0.16940451745379875
CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC(=C)[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,0.751504734367728,0.6634615384615383,0.0135523613963039
CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,0.5883608331792645,0.679945054945055,0.010266940451745381
CC1=CC(=C(C(=C1)C)O)C,0.9711826592912343,0.581043956043956,0.10164271047227927
