SMILES,Clint,logP,Fup,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
FC(F)(F)C(Cl)Cl,0.7863181952219298,0.4736842105263158,0.5429158110882957,0.1742168884756204,0.0,0.0,0.0,0.07102468237776027,0.0
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)nc1O,0.31637944059497014,0.18274853801169588,0.9281314168377826,0.3415325158365782,0.4,0.7000000000000001,0.1764705882352941,0.2929886026316779,0.8256346749226007
NC(=O)N1c2ccccc2C=Cc2ccccc21,0.31412517420319663,0.5131578947368421,0.5175564681724847,0.2964781774859069,0.2,0.1,0.0,0.34643803763732817,0.2868730650154799
CCCCCCCC[Si](OCC)(OCC)OCC,0.542936782593173,0.8435672514619882,0.01642710472279261,0.35476840820596267,0.0,0.30000000000000004,0.7647058823529411,0.3744141186866935,0.17145510835913313
CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,0.7806922904965485,0.7690058479532164,0.0034907597535934302,0.3967426047538793,0.0,0.7000000000000001,0.4117647058823529,0.37677698126822146,0.35114551083591333
C=C1CC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC2(C)C1(OC(C)=O)C(C)=O,0.751504734367728,0.641812865497076,0.0135523613963039,0.529145115360028,0.0,0.4,0.11764705882352941,0.5445773098438657,0.3742414860681115
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0.1105508953540195,0.4649122807017544,0.31827515400410683,0.401072238042657,0.0,0.4,0.058823529411764705,0.4171999442661114,0.266687306501548
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,0.3207955052928546,0.5087719298245613,0.09240246406570844,0.45041262276980304,0.0,0.4,0.058823529411764705,0.44374241407206516,0.266687306501548
Cc1ccc(N)cc1O,0.6007152977916559,0.2675438596491228,0.6098562628336757,0.13227174986923926,0.4,0.2,0.0,0.15423982843286585,0.2863777089783282
CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1,0.7043710305219253,0.6374269005847952,0.004209445585215606,0.39823908874295344,0.6000000000000001,0.30000000000000004,0.1764705882352941,0.4330162894474876,0.37578947368421056
CCCc1ccc(O)c(OC)c1,0.6686668494998163,0.5423976608187134,0.06232032854209446,0.19478991108269889,0.2,0.2,0.1764705882352941,0.2146231525566862,0.18241486068111457
CN=C1C=NN(c2cccc(C(F)(F)F)c2)C(=O)C1Cl,0.5433582717585086,0.5029239766081871,0.1787474332648871,0.3937496367757308,0.0,0.30000000000000004,0.058823529411764705,0.32994885938901464,0.27882352941176475
CCCc1ccc(N)cc1,0.613011218295887,0.5058479532163742,0.1293634496919918,0.14975010170279537,0.2,0.1,0.11764705882352941,0.19446782877828883,0.16111455108359135
CCCCCCCCCCCCN1CCCC1=O,0.6286216777368078,0.7690058479532164,0.0025667351129363466,0.32139536235253097,0.0,0.1,0.6470588235294118,0.3682844505099492,0.12575851393188855
CCCCCCCCn1sccc1=O,0.5647449234519376,0.5131578947368421,0.01870636550308008,0.2631051316324752,0.0,0.30000000000000004,0.4117647058823529,0.28509155562713606,0.13622291021671828
CCNc1nc(NC(C)CC)nc(OC)n1,0.46182805971613555,0.6081871345029239,0.03706365503080083,0.280598012436799,0.4,0.6000000000000001,0.3529411764705882,0.2954934488840243,0.44557275541795666
CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,0.6160780553937092,0.5497076023391813,0.12453798767967146,0.36912303132446095,0.0,0.5,0.23529411764705882,0.3329146227817039,0.3828482972136223
O=c1[nH]c2ccc(S(=O)CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1,0.4305936978665184,0.7748538011695906,0.029260780287474336,0.5377317370837449,0.2,0.4,0.3529411764705882,0.5257385137594363,0.4105882352941177
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,0.9661751512799348,0.7573099415204678,0.0005133470225872697,0.45488754576625795,0.2,0.5,0.47058823529411764,0.4432295775297066,0.351640866873065
Cc1nccn1-c1ccc(Sc2cccc(C3(C(N)=O)CCOCC3)c2)cc1,0.33663345859070565,0.6842105263157894,0.05595482546201233,0.524670192363573,0.2,0.5,0.29411764705882354,0.5385239314006954,0.43430340557275543
Oc1ccc(Cc2ccccc2O)cc1,0.8020489908538044,0.6154970760233918,0.03347022587268994,0.24415935375138026,0.4,0.2,0.11764705882352941,0.26954010535400286,0.2505263157894737
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,0.5050482676262469,0.6374269005847952,0.09958932238193019,0.34163421863195215,0.2,0.30000000000000004,0.23529411764705882,0.4202605400359516,0.18780185758513931
O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,0.9871303916702018,0.12573099415204678,0.40246406570841897,0.3851194281397106,0.0,0.9,0.3529411764705882,0.3194590210225897,0.6414241486068112
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,0.5883608331792645,0.6593567251461988,0.010266940451745381,0.4185796478177486,0.4,0.5,0.3529411764705882,0.3957704759790649,0.5762229102167183
CN1CCN2c3ccccc3Cc3ccccc3C2C1,0.44493760237603497,0.7748538011695906,0.04106776180698153,0.3372609984308712,0.0,0.2,0.0,0.3980374466038089,0.04012383900928793
