SMILES_rdkit_final,logP,Fup,Clint.invitro.[ml/min/10^6cell],Clint.invitro.[ml/min/kg],Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)[S-])O)O)O)O.[Au+],-2.2,0.03,,,,392,4,6,1,41.1322,90.15,-2.6693
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O.Cl,-2.37477,,,,,215.06,5,6,1,45.2026,116.17,-2.8332
C([C@H]([C@H]([C@@H]([C@@H](CBr)O)O)O)O)Br,-0.24,,,,,305.91,4,4,5,51.6152,80.92,-0.7802
C([C@H]([C@H]([C@@H]([C@H]([C@H](C(=O)[O-])O)O)O)O)O)O.[Na+],-2.45,,,,,248.05,6,8,6,42.1268,161.51,-8.4629
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Cr+3],-3.4,0.05,,,,637.09,15,21,15,108.36,423.84,-14.4859
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.O.O.[Mg+2],-3.175,0.725,,,,450.11,10,14,10,85.2216,345.56,-11.6858
C([C@H]([C@H](CO)O)O)O,-2.29,,,,,122.06,4,4,3,26.1852,80.92,-2.3072
C([C@H](C(=O)O)N)C(=O)N.O,-3.82,,,,,150.06,3,3,3,33.0364,137.91,-2.551
C([C@H](C(=O)O)N)C(=O)O,-3.89,,,,,133.04,3,3,3,27.864,100.62,-1.127
C([C@H](C(=O)O)N)O,-3.07,,,,,105.04,3,3,2,22.697,83.55,-1.6094
C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],0.11,,,,,195.97,0,8,4,30.7086,172.56,-1.2955
