,SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
21832,CNC(=O)c1c(-c2ccccn2)c(C(C)Nc2ncnc(N)c2C#N)nc2ccc(F)cc12,3.21,0.11,,,442.17,3,8,5,121.51930000000002,142.5,3.2124800000000002
21833,CNC(=O)c1c(-c2ccccn2)c(C(C)Nc2ncnc(N)c2C#N)nc2cccc(F)c12,3.21,0.42,,,442.17,3,8,5,121.51930000000002,142.5,3.2124800000000002
21834,CNC(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1OC,2.51,,14.3,,492.25,1,9,5,137.96519999999992,101.94000000000001,2.5102
21835,CNC(=O)c1cc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)ccc1OC(F)F,3.1,,14.9,,528.23,1,9,6,138.0451999999999,101.94000000000001,3.1030000000000015
21836,CNC(=O)c1cc(F)ccc1CNC(=O)c1nc(C(C)(C)C)n(C)c(=O)c1O,1.21,0.07,,,390.17,3,6,4,100.80320000000005,113.32000000000001,1.2121
21837,CNC(=O)c1cc(F)ccc1CNC(=O)c1nc(N2CCCCS2(=O)=O)c2cccnc2c1O,1.69,0.08,,,487.13,3,7,5,122.53000000000003,141.59,1.6941
21838,CNC(=O)c1cc(F)ccc1CNC(=O)c1ncc2cccnc2c1O,1.76,0.02,,,354.11,3,5,4,92.16320000000002,104.21000000000001,1.7640999999999996
21839,CNC(=O)c1cc2c(Oc3ccc(Cl)cc3)cncc2s1,4.1,0.015,,,318.02,1,4,3,84.53620000000004,51.22,4.101600000000001
21840,CNC(=O)c1cc2c(Oc3ccc(I)cc3)cncc2s1,4.05,0.002,,,409.96,1,4,3,92.24320000000002,51.22,4.052800000000001
21841,CNC(=O)c1ccc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)cnc2N)cc1,2.76,0.182,,,381.11,2,5,4,106.02140000000001,102.14999999999999,2.7609000000000004
21842,CNC(=O)c1ccc(-c2cc3cccc(-c4nn(C5CCOCC5)c5c4CN(C(C)=O)CC5)c3cn2)cn1,3.78,0.05,,,510.24,1,7,4,143.47019999999983,102.24000000000001,3.7760000000000025
21843,CNC(=O)c1ccc(F)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,1.83,0.011,,,436.15,2,4,4,114.9029,102.57999999999998,1.8338999999999999
21844,CNC(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1F,3.47,0.08,,,368.18,2,6,5,101.44790000000003,84.73,3.471720000000002
