SMILES,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
C1=CC(=CC(=C1)Br)COC2=CC=C(C=C2)CCC(=O)O,0.9333934891604501,0.4341932350588503,0.2,0.2,0.30000000000000004,0.4107367866126892,0.2242301575827671
C1=CC(=CC(=C1)CNCCC2=C(C=CC=C2Cl)Cl)CCNC[C@@H](C3=C4C(=C(C=C3)O)NC(=O)S4)O,0.4268081092538058,0.7157324877156895,1.0,0.6000000000000001,0.55,0.7311374633120176,0.4692785889836634
C1=CC(=CC(=C1)N(CC2=CN=CC=C2)C3=CC(=C(C=C3)OC(F)F)OC(F)F)C(=O)O,0.4869839660814137,0.5800051422694549,0.2,0.5,0.45,0.5240676719643631,0.34644113536697024
C1=CC(=CC(=C1)O)O,0.5851955905948566,0.11425837047194606,0.4,0.2,0.0,0.15120400575123327,0.19497855525034938
C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,0.8184469479831237,0.2828676722660267,0.6000000000000001,0.30000000000000004,0.1,0.3392963525581154,0.2924678328755241
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],0.16808736956223821,0.41703805279396633,0.6000000000000001,0.5,0.30000000000000004,0.36855176490843683,0.5431063563201773
C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2)O)O)O,0.6444945562089196,0.2856959204662324,0.6000000000000001,0.4,0.1,0.3113858064804474,0.37472892872632646
C1=CC(=CC=C1C(C2=CC=C(C=C2)O)C(Cl)(Cl)Cl)O,0.9426926780206899,0.4084247514569763,0.4,0.2,0.1,0.3979067217411752,0.19497855525034938
C1=CC(=CC=C1C2=CC(=NN2C3=CC=C(C=C3)C(=O)O)C(F)(F)F)C(F)(F)F,0.5167366632549306,0.5285253113929835,0.2,0.30000000000000004,0.15000000000000002,0.4365904186404154,0.2656257529757602
C1=CC(=CC=C1C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F)C(F)(F)F,0.6211502003447723,0.5785053136784367,0.2,0.4,0.15000000000000002,0.45900773450470783,0.37578911859669417
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,0.5948622862149141,0.319977716832362,0.4,0.4,0.05,0.36186247726602094,0.3405619006312949
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,0.6253398042940598,0.3428179636612958,0.6000000000000001,0.5,0.05,0.3703176637113129,0.4380511782564696
C1=CC(=CC=C1Cl)Cl,0.9348576478888209,0.16558107644840586,0.0,0.0,0.0,0.18518321009624836,0.0
C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl.[N+](=O)(O)[O-],0.4497090549225097,0.5898897268883555,0.2,0.5,0.30000000000000004,0.5406479228469315,0.4357380367211219
C1=CC(=CC=C1N)[N+](=O)[O-],0.6622167496420811,0.15425379956576388,0.2,0.30000000000000004,0.05,0.19049969806533268,0.33328514288468025
C1=CC(=CC=C1N/N=C\2/C3=C(C=CC2=O)C=C(C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],0.6271025153540714,0.602673980116558,0.2,0.9,0.2,0.47238478614950263,0.7510963327068576
C1=CC(=CC=C1OC2=CC=C(C=C2)Br)Br,0.5609320522056036,0.422580276539824,0.0,0.1,0.1,0.34717661882944834,0.044479784106790037
C1=CC(=CC=C1S(=O)(=O)NC2=CC3=C(C=C2)SC(=N3)CO)Br,0.6684708822015627,0.5254970860473088,0.4,0.5,0.2,0.4595973831990245,0.3821020673702472
C1=CC(=CC2=C1C=CC(=O)O2)O,0.7801317324251097,0.18852131185007426,0.2,0.30000000000000004,0.0,0.22422293088413278,0.24307262300612018
