,SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
273,C1=CC=C(C=C1)C(=O)OCCOCCOC(=O)C2=CC=CC=C2,2.72,,843.0,314.12,0.0,5.0,8.0,84.268,61.83
274,C1=CC=C(C=C1)C(C2=CC=C(C=C2)Cl)C(=O)C3C(=O)C4=CC=CC=C4C3=O,4.06,2.44e-08,0.0,374.07,0.0,3.0,4.0,103.337,51.21
275,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,4.8,0.00953,77.1,344.11,0.0,2.0,4.0,101.843,17.82
276,C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N,3.23,0.0188,21.7,336.11,0.0,4.0,6.0,93.528,54.5
277,C1=CC=C(C=C1)C[N+]2=CC=CC3=CC=CC=C32.[Cl-],3.16,0.599,7.31,255.08,0.0,0.0,2.0,69.687,3.88
278,C1=CC=C(C=C1)C=CC=C2C(=O)NC(=O)S2,,,10.47,231.04,1.0,3.0,2.0,64.6887,46.17
279,C1=CC=C(C=C1)C2=C(C(=NC(=N2)Cl)C3=CC=CC=C3)N,,,46.77,281.07,1.0,3.0,2.0,82.3264,51.8
280,C1=CC=C(C=C1)C2=C(C=C(C=C2)Cl)COC3=CC=C(C=C3)CCC(=O)O,,,21.38,366.1,1.0,2.0,7.0,103.6188,46.53
281,C1=CC=C(C=C1)C2=C(C=C(C=C2)O)Cl,3.52,1.17e-08,49.2,204.03,1.0,1.0,1.0,58.5528,20.23
282,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,4.19,0.00039,4.673,293.11,1.0,3.0,5.0,83.3318,63.33
283,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,3.52,0.00263,204.0,254.06,2.0,4.0,1.0,71.2496,70.67
284,C1=CC=C(C=C1)C2=CC=CC=C2,4.01,0.01557,14.18,154.08,0.0,0.0,1.0,51.878,0.0
285,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,1.36,0.343,1.18,187.09,2.0,5.0,1.0,54.0878,90.71
286,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,2.24,0.04,3.271,286.05,2.0,3.0,1.0,78.1695,61.69
287,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,0.98,0.333,0.0,253.11,3.0,7.0,1.0,73.8012,129.62
288,C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O,3.6,3.25e-06,4.53,218.05,1.0,1.0,2.0,62.3648,20.23
289,C1=CC=C(C=C1)CCCCCCC(=O)N[C@@H](CCC(=O)O)CC2=CC=C(C=C2)OCC3=CC=CC=C3,,,17.38,487.27,2.0,3.0,16.0,142.9515,75.63
290,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,3.6,,57.48,240.12,0.0,2.0,5.0,71.251,26.3
291,C1=CC=C(C=C1)CCOCCCS(=O)(=O)CCNCCC2=C3C(=C(C=C2)O)NC(=O)S3,1.78,,42.5,464.14,3.0,7.0,13.0,124.92,108.49
292,C1=CC=C(C=C1)Cl,2.86,0.202,879.1,112.01,0.0,0.0,0.0,31.452,0.0
293,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,1.57,0.138,0.0,225.1,2.0,4.0,3.0,65.4524,66.49
294,C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)O,3.56,0.00674,633.0,228.08,1.0,3.0,3.0,63.6683,46.53
295,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2C(=O)O,2.93,0.0352,0.0,256.07,1.0,3.0,4.0,68.9628,63.6
296,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,3.11,3.35e-08,841.0,228.08,1.0,3.0,3.0,63.6683,46.53
297,C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,3.13,0.04368,8.288,198.08,0.0,2.0,3.0,60.818,32.67
298,C1=CC=C(C=C1)N/N=C/2\C(=O)C=CC3=CC=CC=C32,3.87,0.00277,0.0,248.09,1.0,3.0,2.0,77.0847,41.46
299,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,3.41,0.0171,15.7,197.1,1.0,3.0,2.0,61.4724,50.74
300,C1=CC=C(C=C1)N=NC2=CC=CC=C2,3.82,2.8e-06,73.7,182.08,0.0,2.0,2.0,57.06,24.72
301,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,1.17,0.4273,1.871,221.04,1.0,4.0,1.0,59.2564,60.91
302,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,2.96,0.7844,0.0,211.11,2.0,1.0,2.0,67.7891,50.41
303,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,2.86,0.07513,21.4,322.98,1.0,1.0,2.0,73.5542,29.1
304,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,3.35,0.29,14.7,264.15,3.0,3.0,8.0,72.7029,78.43
305,C1=CC=C(C=C1)NC(=O)CCl,1.63,0.401,38.9,169.03,1.0,1.0,2.0,45.7917,29.1
306,C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl,3.2,0.02755,26.87,247.05,2.0,2.0,2.0,68.3304,54.02
307,C1=CC=C(C=C1)NC(=O)NC2=CN=NS2,1.77,0.02837,4.92,220.04,2.0,4.0,2.0,58.9924,66.91
308,C1=CC=C(C=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC3=CC=CC=C3)[N+](=O)[O-],4.6,0.0,109.1,369.08,2.0,5.0,6.0,100.0716,101.34
309,C1=CC=C(C=C1)NC2=CC=C(C=C2)N=O,3.04,0.123,839.0,198.08,1.0,3.0,3.0,61.6217,41.46
310,C1=CC=C(C=C1)NC2=CC=C(C=C2)O,2.82,0.0582,75.1,185.08,2.0,2.0,2.0,57.8315,32.26
311,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,4.2,0.006962,57.9,219.1,1.0,1.0,2.0,73.6727,12.03
312,C1=CC=C(C=C1)NNC2=CC=CC=C2,2.94,1.97e-06,19.0,184.1,2.0,2.0,3.0,60.1294,24.06
313,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,2,0.06,0.7,318.07,3.0,4.0,5.0,82.6557,95.5
314,C1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)O,3.29,0.045,865.0,214.06,1.0,3.0,2.0,59.5073,46.53
315,C1=CC=C(C=C1)OC2=C3C=CC=CN3C(=O)C(=C2)C(=O)NC4=NNN=N4,0.63,0.0191,0.0,348.1,2.0,7.0,4.0,92.3139,114.27
316,C1=CC=C(C=C1)OC2=CC=CC(=C2)C(=O)O,3.91,0.00716,0.0,214.06,1.0,2.0,3.0,59.9173,46.53
317,C1=CC=C(C=C1)OCCO,1.16,0.2957,17.89,138.07,1.0,2.0,3.0,39.0228,29.46
318,C1=CC=C(C=C1)OCCOC2=CC=CC=C2,3.81,0.0,18.51,214.1,0.0,2.0,5.0,63.874,18.46
319,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,4.59,0.002852,26.44,326.07,0.0,4.0,6.0,88.8165,44.76
320,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,2.84,0.101,0.0,278.09,0.0,1.0,3.0,85.8345,17.07
321,C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,5.41,,5.37,481.04,1.0,3.0,5.0,89.4776,57.61
322,C1=CC=C2C(=C1)C(=NC3=CC=CC=C3S2)N,,,7.94,226.06,1.0,3.0,0.0,67.3914,38.38
323,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N,3.31,0.0305,30.8,223.06,1.0,3.0,0.0,64.1614,60.16
